Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
World,WLD,,4.300373757,5.554035698,5.353451424,6.714764055,5.519450662,5.769563226,4.48689164,6.315078052,6.116577005,3.535942287,4.342756029,5.726048819,6.505465892,1.996563711,0.602978792,5.272405894,3.934633549,3.889419493,4.124186684,1.904212329,1.922996979,0.431396294,2.412084489,4.505591869,3.713639002,3.3961589,3.702151143,4.617448788,3.678421679,2.918371594,1.478488534,1.763207497,1.517203783,2.988271479,3.040021373,3.378779851,3.682507131,2.553421484,3.243334114,4.383542814,1.949442694,2.176384092,2.956849631,4.402955476,3.914924965,4.379508585,4.319258315,1.850560542,-1.678927641,4.298923039,3.132980367,2.507633769,2.654362447,2.833184774,2.80594172,2.481500069,3.108815121,2.973650893,,
Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.07843137,18.64864865,12.12984055,3.961401727,7.962872496,5.882352941,7.307692308,8.203902828,2.547142662,1.185789988,7.046872207,1.991988362,1.238039283,7.616589704,-2.971256987,-3.273646887,1.975547287,7.911564672,1.214348832,1.050606636,1.800225854,-0.090707754,-10.51974761,-3.685029581,3.44605475,-1.369863014,4.198232323,0.84822781,-0.450585761,-0.211225106,1.330511037,,,
Afghanistan,AFG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.832277804,1.41411798,11.22971484,5.357403248,13.82631954,3.924983823,21.39052841,14.36244146,0.426354793,12.75228708,5.600744661,2.724543365,1.451314655,2.260314205,2.665292046,1.030660058,,
Angola,AGO,,,,,,,,,,,,,,,,,,,,,,-4.400001219,0,4.200001428,6.000002164,3.49999949,2.900001743,4.082748636,6.128890476,0.041621462,-3.450098684,0.991359301,-5.838280733,-23.98341744,1.339363436,15.00000003,13.54436976,7.274277355,4.691146451,2.181489718,3.054624234,4.205998556,13.66568652,2.98985001,10.95286177,15.02891532,11.54768318,14.01001824,11.16613833,0.858712615,4.859219584,3.471981372,8.542147337,4.954590478,4.822625549,0.943575613,-2.58009724,-0.147207426,-2.133493257,,
Albania,ALB,,,,,,,,,,,,,,,,,,,,,,5.745635292,2.948596802,1.104938262,-1.251596645,1.78064396,5.637243178,-0.787842655,-1.420039655,9.83654897,-9.575640169,-28.00214166,-7.187110916,9.559411694,8.302866591,13.32233332,9.099999444,-10.91998409,8.830087709,12.88989673,6.950036134,8.290070027,4.53996064,5.530050778,5.509998693,5.529914809,5.900083957,5.979982036,7.49996956,3.350067393,3.706891433,2.545322651,1.417524408,1.001988709,1.774486771,2.21875146,3.314804753,3.821081417,4.145237936,,
Andorra,AND,,,,,,,,,,,,4.649465361,8.149743489,7.788467203,5.61878973,0.542205659,3.30378705,2.838575566,1.463000179,0.041557195,2.208727607,-0.132474511,1.246461113,1.770118317,1.784686694,2.321433032,3.253321778,5.547122171,5.094326203,4.827034244,3.78138759,2.546002872,0.929211956,-1.031484011,2.383187691,2.757499187,4.649740149,9.067672199,3.194790296,4.099080837,3.528361297,4.54676832,6.471014671,12.16871989,7.64786979,7.396982715,4.536353119,0.040011067,-8.590003787,-3.69065351,-5.358825775,-4.646543052,-1.615218183,0.351645002,2.277683153,0.842203518,1.889124387,1.724022237,1.629345471,,
Arab World,ARB,,,,,,,,,,,,,,,,,15.82066466,8.237194911,-0.660529139,11.53300338,9.140252793,2.918057876,-9.07078837,-6.836564671,1.370964688,-2.290810993,4.705734504,-0.493521487,5.605302444,2.366884176,13.10907564,1.521420764,4.990614717,3.270957637,3.205864859,2.74991797,4.594003738,4.256357968,5.266023072,1.795512962,5.478092364,1.584423608,0.583764727,5.322962924,9.310814055,5.748228831,6.497500807,4.574124951,5.822453363,0.426422635,4.768836619,3.62959887,6.658109668,3.168556916,2.439528417,3.306346262,3.372624384,0.832435499,2.045975654,,
United Arab Emirates,ARE,,,,,,,,,,,,,,,,,16.52685651,21.43933017,-1.58960332,20.92357308,23.87477491,4.659176674,-6.719316186,-4.7458207,4.01695128,-3.594476517,-14.95813656,3.381981709,-2.618907704,12.33789128,18.32798553,0.860081946,3.344944862,1.261190951,6.896148551,6.687886464,5.798404061,8.190398641,0.291994349,2.902213645,10.85270421,1.39908503,2.43345681,8.800540815,9.566436637,4.855141196,9.837319773,3.184390174,3.191836276,-5.242921907,1.602809961,6.930271629,4.484626085,5.053345825,4.284303689,5.105936984,3.060964305,0.490860761,1.726349343,,
Argentina,ARG,,5.42784288,-0.852021523,-5.308196827,10.13029766,10.56943334,-0.659726172,3.191996623,4.822500782,9.679526008,3.045643319,5.658131083,1.628416516,2.811754041,5.533804395,-0.028412103,-2.018251517,6.934147755,-4.506124802,10.22276346,1.518783949,-5.18978914,-0.735659162,4.34909328,1.570738702,-5.189024352,6.153377063,2.704868826,-1.089933342,-7.156949656,-2.467213776,9.133110566,7.937291556,8.206979072,5.836200704,-2.845209611,5.526689827,8.111046771,3.850178852,-3.385457041,-0.788998939,-4.408839683,-10.89448483,8.837040796,9.029573301,8.85165992,8.0471515,9.007650875,4.057233103,-5.918525076,10.12539816,6.003951693,-1.026420454,2.405323781,-2.512615321,2.731159828,-2.080327844,2.668590379,-2.481792445,,
Armenia,ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.69999848,-41.80000274,-8.799998794,5.400002783,6.899998416,5.865400751,3.321079698,7.299999989,3.300000002,5.900000001,9.5566415,13.18630053,14.04079506,10.46784186,13.86571125,13.19800352,13.74920196,6.900000002,-14.14998864,2.199999998,4.699999999,7.200000004,3.3,3.600000001,3.199999999,0.2,7.500000002,5.2,,
