time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-03-02T18:21:29.940Z,38.7965012,-122.8144989,3.14,0.85,md,15,91,0.0121,0.03,nc,nc73349040,2020-03-02T18:29:03.059Z,"6km WNW of The Geysers, CA",earthquake,0.35,0.68,0.28,2,automatic,nc,nc
2020-03-02T18:07:04.690Z,33.593,-116.8105,4.64,1.28,ml,45,38,0.03874,0.16,ci,ci39088751,2020-03-02T18:17:34.340Z,"13km WNW of Anza, CA",earthquake,0.18,0.34,0.17,27,automatic,ci,ci
2020-03-02T18:07:04.190Z,19.4851665,-155.886673,9.56,1.85,md,31,101,0.02899,0.18,hv,hv71409507,2020-03-02T18:10:43.080Z,"3km ESE of Captain Cook, Hawaii",earthquake,0.51,0.41,0.1,9,automatic,hv,hv
2020-03-02T18:02:09.660Z,62.087,-150.0334,11.1,1.8,ml,,,,0.62,ak,ak0202uu1rq3,2020-03-02T18:07:39.116Z,"12km SW of Y, Alaska",earthquake,,0.2,,,automatic,ak,ak
2020-03-02T18:01:18.693Z,61.3837,-150.0449,34.3,1.6,ml,,,,0.53,ak,ak0202uu1knw,2020-03-02T18:04:17.611Z,"16km SSW of Big Lake, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-03-02T17:47:42.750Z,17.9628,-66.8376,14,2.62,md,7,210,0.0434,0.34,pr,pr2020062032,2020-03-02T18:30:56.849Z,"3km SSW of Indios, Puerto Rico",earthquake,1.79,1.3,0.28,4,reviewed,pr,pr
2020-03-02T17:45:38.270Z,17.982,-66.8071,17,1.94,md,5,193,0.0724,0.08,pr,pr2020062031,2020-03-02T18:19:23.754Z,"1km SE of Indios, Puerto Rico",earthquake,1.03,0.63,0.35,4,reviewed,pr,pr
2020-03-02T17:39:37.100Z,19.5053329,-155.4528351,-0.63,1.94,md,35,95,0.0246,0.26,hv,hv71409457,2020-03-02T17:42:42.900Z,"24km WNW of Volcano, Hawaii",earthquake,0.4,0.56,0.18,17,automatic,hv,hv
2020-03-02T17:38:14.410Z,17.8853,-66.8463,14,2.49,md,5,241,0.0956,0.07,pr,pr2020062030,2020-03-02T18:19:07.874Z,"11km SE of Guanica, Puerto Rico",earthquake,0.94,0.58,0.35,3,reviewed,pr,pr
2020-03-02T17:32:20.790Z,33.4963333,-116.7925,6.97,0.57,ml,17,69,0.01729,0.11,ci,ci39088743,2020-03-02T17:36:05.258Z,"9km NE of Aguanga, CA",earthquake,0.23,0.66,0.11,11,automatic,ci,ci
